# RU	ING	source
Был также в Тифлизе бедный Ашик-Кериб; пророк не дал ему ничего кроме высокого сердца и дара песен; играя на саазе (балалайка турецкая) и прославляя древних витязей Туркестана, ходил он по свадьбам увеселять богатых и счастливых; на одной свадьбе он увидал Магуль-Мегери, и они полюбили друг друга.	Р Д.Юіе/шонтов ’› В ср За Туркий фальг НОХЧ—ПАЛ.ПАЙ КНИЖНИ ИЗДАТЕЛЬСТВО 1958 И Н КЫ : ) к а Й АУ Ла Й Ч » “а ЕЛО _ Е ай, оо : ‚ “ е ИО ® ' Н Дуккха ха хьалха, Гуржема цхьа в аьхи турке вахаш хиннав.	ocr
Мало было надежды у бедного Ашик-Кериба получить её руку – и он стал грустен, как зимнее небо.	Дукха дошув деннадар цунна дала, цхьабакъда, дошол а езаг1а яр цун ший ца1 мара йоаца йо1, Магуль-Мегери.	ocr
Вот раз он лежал в саду под виноградником и наконец заснул; в это время шла мимо Магуль-Мегери с своими подругами; и одна из них, увидав спящего ашика (балалаечник), отстала и подошла к нему: «Что ты спишь под виноградником, запела она, вставай, безумный, твоя газель идёт мимо»; он проснулся – девушка порхнула прочь, как птичка; МагульМегери слышала её песню и стала её бранить: «Если б ты знала, – отвечала та, – кому я пела эту песню, ты бы меня поблагодарила: это твой АшикКериб». – «Веди меня к нему», – сказала Магуль-Мегери.	Дика да сигалара седкъий, цхъабакъда, цу седкъашта т ехьашкахьа малайкаш дах; уж кхы а дикаг1 а да; иштта Магуль-Мегери а яр Гуржега мел йолча йбал дикагАа.	ocr
И они пошли.	Цу Гуржег1а вар къе а волаш Ашик-Кериб яхаш цхьа саг.	ocr
Увидав его печальное лицо, Магуль-Мегери стала его спрашивать и утешать.	Пайхамара х1амма а деннадацар цунна, сакъердаме доги дика илли ала хари мара.	ocr
«Как мне не грустить, – отвечал Ашик-Кериб, – я тебя люблю – и ты никогда не будешь моею».	Сааз*) а локхаш, Туркестана хьалхара (къаьнара) т емаЧРя оОНИ НОЕ ИЗДАТЕЛЬСТВО МОО ЗЩНЕЯ аща СКОЕ "Л‚ ; дж * Сааз — дахчан анар (Лермонтова _примечани). хой хеста а беш, ловзарашка ухар из, б аьхи а ираз долаш а болча нахага он сакъердийта.	ocr
«Проси мою руку у отца моего, – говорила 2 она, – и отец мой сыграет нашу свадьбу на свои деньги, и наградит меня столько, что нам вдвоем достанет».	Из сомаваьлар, йо1 з амига Ё д…’ “а чЁ‘›') оалхазарг санна даийккхар.	ocr
«Хорошо, – отвечал он, – положим, Аяк-Ага ничего не пожалеет для своей дочери; но кто знает, что после ты не будешь меня упрекать в том, что я ничего не имел и тебе всем обязан; нет, милая Магуль-Мегери; я положил зарок на свою душу; обещаюсь семь лет странствовать по свету и нажить себе богатство либо погибнуть в дальних пустынях; если ты согласна на это, то по истечении срока будешь моею».	Цо лакхаь 'еааксот в ° УЙ лЬссний йиш хаза а хазаь, Магуль-Мегери лийра ТАа НЕ Та ‹ цунга. „Нагахьа санна из йиш аз хьанна ОА : х лекхар хьайна ховре,— аьлар вокхо, — уА ко а сона баркал аргдар а: хьа Ашщик-Кериб " л и ма варий из“.— Д айигал со из волча, — У — Е э аьнна Магуль-Мегере а аьнна, д абахар оповлкоЕПИаяРЯрЛИНЕЛОИ С ПлЧПав ПИ ОЕ ЧЕ, * А шик — пандар локха саг ( . уж из волча.	ocr
Она согласилась, но прибавила, что если в назначенный день он не вернется, то она сделается женою Куршуд-бека , который давно уж за неё сватается.	Цун г1айМане юхь шийна таь, з амигача йишийна барт а баьккха, б аргаяйча, Магуль-Мегери цунга хатта- ) т орми кач а элла, г адж бе а елла Гурраш де а, цунна сатем бе а йолаелар.— жег1ара араваьлар из.	ocr
Пришёл Ашик-Кериб к своей матери; взял на дорогу её благословение, поцеловал маленькую сестру, повесил через плечо сумку, оперся на посох странничий и вышел из города Тифлиза.	Дукха ихар уж новкъа ахча а лургда.— „Диканд,—-аьлар цо,— цхьн; эггара т ехьа а цхьан хина т1аАякх-Аг айна-м в1алла дукха ма хеталда кхаьчар уж.	ocr
И вот догоняет его всадник, – он смотрит – это Куршуд-бек.	Т йй а дацар, гечув а дацар. ший йо1а лур, ше мелла лойя а; хГаьта „Наьк деш д адехьавала хьо хьалхаа хьанна хов, т ехьаг1а Га т ахдеттий а, га, — аьлар Курщуд-бека, — со — хьона цхьаккха х ама дацар хьа, доллача х а- " ехьа — воаг1аргва“.	ocr
«Добрый путь, – кричал ему бек, – куда бы ты ни шёл, странник, я твой товарищ»; не рад был Ашик своему товарищу – но нечего делать; долго они шли вместе, – наконец завидели перед собою реку.	Т еханахьа — дувха манна сона декхарийла а ва хьо, яхаш.	ocr
Ни моста, ни броду.	А, барзкъаш т1 ера д а а давха, наьк де са еза Магуль-Мегери, аз дагахьа цхьа волавелар Ашик.	ocr
«Плыви вперед, – сказал Куршуд-бек, – я за тобою последую».	Т аккха уж барзкъаш а ийца, ший нус Магуль-Мегери йолча яхар из. „Са ай во1 хила ваха веннав, — аьлар цо цунга, — ? …	ocr
Куршуд-бек, взяв его одежды, ускакал обратно в Тифлиз, только пыль вилась за ним змеею по гладкому полю.	Курщуд-бека ща денад цун барзкъаш; Зщ з № хьо мукъа я“.— Магуль-Мегере, ела а о Ва ”Ё Я ' къежаь, аьлар:— “Теша ма тешалахь; из воой й ЁЁ деррига а Куршуд-бека шийгара дага- : : ' ® лаьца х ама да; ворх1 шу даьнна дал- * ай ат НЫ лалца цхьаккха саг а хургвац са мар.“— Н д„г у ты “Ж Пенах хьалъулла ший сааз хьа а ийца, КОУ — бар Н къеча Ашик-Кериба дукха дезаш хинна Ё у й1	ocr
Прискакав в Тифлиз, несёт бек платье Ашик-Кериба к его старой матери: «Твой сын утонул в глубокой реке, – говорит он, – вот его одежда».	ЪЁ ёъ Циггара ваьнна наькъахо кхаьчар Н э дег а та а когаш та а верзан а волаш, —ННЕ т цхьан юрта.	ocr
В невыразимой тоске упала мать на одежды любимого сына и стала обливать их жаркими слезами; потом взяла их и понесла к наречённой невестке своей, Магуль-Мегери.	Дикача наха барзкъа а дий- „ Чж“э ‹ хар цунна, кхаба ‚а кхаьбар из, цудухьа фа оя цо царна тамашийна хоза иллеш доахар. ст РОЫЕа ы ‚ Иштта юртара-юрта а, городера-городе ЯВ Ра а водаш лелар из; массанахьа а гГоруу — еВ ое ОДЦЕНЙЙВ он В ваьннавар из.	ocr
«Мой сын утонул, – сказала она ей, – Куршуд-бек привёз его одежды; ты свободна».	Эггара тм ехьа а Халафе от еНРриСтЧО О АЛУИНЫ кхаьчар из.	ocr
Магуль-Мегери улыбнулась и отвечала: «Не верь, это всё выдумки Куршуд-бека; прежде истечения семи лет никто не будет моим мужем».	Массаза а ший Таьдал долчча бесса, кофе мёлача щаг1 а чу а ваха, ‘ сааз а бийха, илли ала волавелар из.	ocr
Она взяла со стены свой сааз и спокойно начала петь любимую песню бедного Ашик-Кериба.	Цу ° хана Халафе вахаш цхьа паша вар, илеш- , та ч оаг а п1ера волаш.	ocr
Между тем странник пришёл бос и наг в одну деревню; добрые люди одели его и накормили; он за это пел им чудные песни; таким образом переходил он из деревни в деревню, из города в город: и слава его разнеслась повсюду.	Дукха кхийлабар цунна та илли оалаш бола нах — царех аМ цхьаккха а цунна _везалацар.	ocr
Прибыл он наконец в Халаф ; по обыкновению взошёл в кофейный дом, спросил сааз и стал петь.	Цун гп1улакх- Ма сс оданрайоанесс жа - « чаш ч юаг1а эттабар городе г олла идда.	ocr
