RU	ING
Давно тому назад, в городе Тифлизе , жил один богатый турок; много аллах дал ему золота, но дороже золота была ему единственная дочь Магуль-Мегери: хороши звёзды на небеси, но за звёздами живут ангелы, и они ещё лучше, так и Магуль-Мегери была лучше всех девушек Тифлиза.	Н Дуккха ха хьалха, Гуржема цхьа в1аьхи турке вахаш хиннав.
Был также в Тифлизе бедный Ашик-Кериб; пророк не дал ему ничего кроме высокого сердца и дара песен; играя на саазе (балалайка турецкая) и прославляя древних витязей Туркестана, ходил он по свадьбам увеселять богатых и счастливых; на одной свадьбе он увидал Магуль-Мегери, и они полюбили друг друга.	Дукха до- шув деннадар цунна дала, цхьабакъда, дошол а езаг1а яр цун ший ца1 мара йоаца йо1, Магуль-Мегери.
Мало было надежды у бедного Ашик-Кериба получить её руку – и он стал грустен, как зимнее небо.	Дукха до- шув деннадар цунна дала, цхьабакъда, дошол а езаг1а яр цун ший ца1 мара йоаца йо1, Магуль-Мегери.
Вот раз он лежал в саду под виноградником и наконец заснул; в это время шла мимо Магуль-Мегери с своими подругами; и одна из них, увидав спящего ашика (балалаечник), отстала и подошла к нему: «Что ты спишь под виноградником, запела она, вставай, безумный, твоя газель идёт мимо»; он проснулся – девушка порхнула прочь, как птичка; Магуль-Мегери слышала её песню и стала её бранить: «Если б ты знала, – отвечала та, – кому я пела эту песню, ты бы меня поблагодарила: это твой Ашик-Кериб». – «Веди меня к нему», – сказала Магуль-Мегери.	Дика да си- галара седкъий, цхъабакъда, цу седкъаш- та т1ехьашкахьа малайкаш дах; уж кхы а дикаг11а да; иштта Магуль-Мегери а яр Гуржега мел йолча йбал дикагАа.
И они пошли.	Дика да си- галара седкъий, цхъабакъда, цу седкъаш- та т1ехьашкахьа малайкаш дах; уж кхы а дикаг11а да; иштта Магуль-Мегери а яр Гуржега мел йолча йбал дикагАа.
Увидав его печальное лицо, Магуль-Мегери стала его спрашивать и утешать.	Цу Гуржег1а вар къе а волаш Ашик-Кериб яхаш цхьа саг.
«Как мне не грустить, – отвечал Ашик-Кериб, – я тебя люблю – и ты никогда не будешь моею».	Цу Гуржег1а вар къе а волаш Ашик-Кериб яхаш цхьа саг.
Пророк Мухаммед, в которого верят мусульмане. она, – и отец мой сыграет нашу свадьбу на свои деньги, и наградит меня столько, что нам вдвоем достанет».	Пайхамара х1амма а ден- надацар цунна, сакъердаме доги дика илли ала хари мара.
«Хорошо, – отвечал он, – положим, Аяк-Ага ничего не пожалеет для своей дочери; но кто знает, что после ты не будешь меня упрекать в том, что я ничего не имел и тебе всем обязан; нет, милая Магуль-Мегери; я положил зарок на свою душу; обещаюсь семь лет странствовать по свету и нажить себе богатство либо погибнуть в дальних пустынях; если ты согласна на это, то по истечении срока будешь моею».	Пайхамара х1амма а ден- надацар цунна, сакъердаме доги дика илли ала хари мара.
Она согласилась, но прибавила, что если в назначенный день он не вернется, то она сделается женою Куршуд-бека , который давно уж за неё сватается.	Из сомаваьлар, йо1 з амига Ё д…’ “а чЁ‘›') оалхазарг санна даийккхар.
Пришёл Ашик-Кериб к своей матери; взял на дорогу её благословение, поцеловал маленькую сестру, повесил через плечо сумку, оперся на посох странничий и вышел из города Тифлиза.	Цо лакхаь 'еааксот в ° УЙ лЬссний йиш хаза а хазаь, Магуль-Мегери лийра ТАа НЕ Та ‹ цунга. „Нагахьа санна из йиш аз хьанна ОА : х лекхар хьайна ховре,— аьлар вокхо, — уА ко а сона баркал аргдар а: хьа Ашщик-Кериб " л и ма варий из“.— Д1айигал со из волча, — У — Е э аьнна Магуль-Мегере а аьнна, д1абахар оповлкоЕПИаяРЯрЛИНЕЛОИ С ПлЧПав ПИ * А шик — пандар локха саг ( уж из волча.
И вот догоняет его всадник, – он смотрит – это Куршуд-бек.	Цо лакхаь 'еааксот в ° УЙ лЬссний йиш хаза а хазаь, Магуль-Мегери лийра ТАа НЕ Та ‹ цунга. „Нагахьа санна из йиш аз хьанна ОА : х лекхар хьайна ховре,— аьлар вокхо, — уА ко а сона баркал аргдар а: хьа Ашщик-Кериб " л и ма варий из“.— Д1айигал со из волча, — У — Е э аьнна Магуль-Мегере а аьнна, д1абахар оповлкоЕПИаяРЯрЛИНЕЛОИ С ПлЧПав ПИ * А шик — пандар локха саг ( уж из волча.
«Добрый путь, – кричал ему бек, – куда бы ты ни шёл, странник, я твой товарищ»; не рад был Ашик своему товарищу – но нечего делать; долго они шли вместе, – наконец завидели перед собою реку.	Цун г1айМане юхь шийна таь, з1амигача йишийна барт а баьккха, б1аргаяйча, Магуль-Мегери цунга хатта- ) т1орми кач а элла, г1адж бе а елла Гур- раш де а, цунна сатем бе а йолаелар.— жег1ара араваьлар из.
Ни моста, ни броду.	Цун г1айМане юхь шийна таь, з1амигача йишийна барт а баьккха, б1аргаяйча, Магуль-Мегери цунга хатта- ) т1орми кач а элла, г1адж бе а елла Гур- раш де а, цунна сатем бе а йолаелар.— жег1ара араваьлар из.
«Плыви вперед, – сказал Куршуд-бек, – я за тобою последую».	Дукха ихар уж новкъа ахча а лургда.— „Диканд,—-аьлар цо,— цхьн; эггара т1ехьа а цхьан хина т1а- Аякх-Аг1айна-м в1алла дукха ма хеталда кхаьчар уж.
